date,key,tool,label
2026-09-15T10:41:12+00:00,news-vix-20,run,VIX 20 돌파 (어제 +1.9%)
2026-09-15T11:18:17+00:00,gspc-down3,run,S&P500 주간 3주 연속 하락
2026-09-15T16:13:10+00:00,news-ETH-USD-drawdown30,run,이더리움 고점 대비 30% 하락 (어제 -3.8%)
2026-09-16T00:04:23+00:00,news-BTC-USD-drawdown30,run,비트코인 고점 대비 30% 하락 (어제 -3.3%)
2026-09-17T00:15:16+00:00,gspc-drawdown20,run,S&P500 고점 대비 20% 하락 첫 진입
2026-09-18T00:02:05+00:00,news-^IXIC-down3,run,나스닥 종합 주간 3주 연속 하락 (어제 +1.7%)
2026-09-19T00:05:42+00:00,news-ETH-USD-down3,run,이더리움 주간 3주 연속 하락 (어제 +6.6%)
